login_id,msan,dt,total
abdulabas@unifi,PUJ,8/11/2014,2
abdulabas@unifi,PUJ,8/12/2014,3
abdulabas@unifi,PUJ,8/13/2014,1
abdulabas@unifi,PUJ,8/14/2014,1
abdulabas@unifi,PUJ,8/15/2014,3
abdulabas@unifi,PUJ,8/16/2014,3
abdulabas@unifi,PUJ,8/17/2014,2
abdulabas@unifi,PUJ,8/18/2014,3
abdulabas@unifi,PUJ,8/19/2014,4
abdulabas@unifi,PUJ,8/20/2014,2
abdulabas@unifi,PUJ,8/22/2014,2
abdulabas@unifi,PUJ,8/23/2014,2
abdulabas@unifi,PUJ,8/24/2014,3
abdulabas@unifi,PUJ,8/25/2014,1
abdulabas@unifi,PUJ,8/26/2014,4
abdulabas@unifi,PUJ,9/2/2014,3
abdulabas@unifi,PUJ,9/2/2014,1
abdulabas@unifi,PUJ,9/2/2014,2
abdulabas@unifi,PUJ,9/2/2014,2
abdulabas@unifi,PUJ,9/2/2014,3
abdulabas@unifi,PUJ,9/2/2014,4
abdulabas@unifi,PUJ,9/2/2014,2
abdulabas@unifi,PUJ,9/2/2014,3
abdulabas@unifi,PUJ,9/2/2014,1
abdulabas@unifi,PUJ,9/4/2014,2
abdulabas@unifi,PUJ,9/5/2014,3
abdulabas@unifi,PUJ,9/7/2014,1
abdulabas@unifi,PUJ,9/8/2014,1
abdulabas@unifi,PUJ,9/9/2014,2
abdulabas@unifi,PUJ,9/10/2014,1
abdulabas@unifi,PUJ,9/11/2014,2
abdulabas@unifi,PUJ,9/12/2014,3
abdulabas@unifi,PUJ,9/13/2014,3
abdulabas@unifi,PUJ,9/26/2014,1
abdulabas@unifi,PUJ,9/27/2014,2
abdulabas@unifi,PUJ,9/28/2014,1
abdulabas@unifi,PUJ,9/29/2014,1
abdulabas@unifi,PUJ,9/30/2014,1
abdulabas@unifi,PUJ,10/1/2014,2
abdulabas@unifi,PUJ,10/1/2014,2
abdulabas@unifi,PUJ,10/1/2014,2
abdulabas@unifi,PUJ,10/1/2014,1
abdulabas@unifi,PUJ,10/1/2014,3
abdulabas@unifi,PUJ,10/1/2014,3
abdulabas@unifi,PUJ,10/1/2014,4
abdulabas@unifi,PUJ,10/1/2014,3
abdulabas@unifi,PUJ,10/1/2014,2
abdulabas@unifi,PUJ,10/1/2014,3
abdulabas@unifi,PUJ,10/1/2014,1
abdulabas@unifi,PUJ,10/1/2014,3
abdulabas@unifi,PUJ,10/2/2014,1
abdulabas@unifi,PUJ,10/3/2014,3
abdulabas@unifi,PUJ,10/3/2014,1
abdulabas@unifi,PUJ,10/4/2014,1
abdulabas@unifi,PUJ,10/6/2014,1
abdulabas@unifi,PUJ,10/7/2014,3
abdulabas@unifi,PUJ,10/8/2014,3
abdulabas@unifi,PUJ,10/9/2014,3
abdulabas@unifi,PUJ,10/10/2014,2
abdulabas@unifi,PUJ,10/11/2014,2
abdulabas@unifi,PUJ,10/12/2014,1
abdulabas@unifi,PUJ,10/13/2014,3
abdulabas@unifi,PUJ,10/14/2014,2
abdulabas@unifi,PUJ,10/15/2014,2
abdulabas@unifi,PUJ,10/16/2014,1
abdulabas@unifi,PUJ,10/16/2014,2
abdulabas@unifi,PUJ,10/16/2014,2
abdulabas@unifi,PUJ,10/16/2014,3
abdulabas@unifi,PUJ,10/17/2014,3
abdulabas@unifi,PUJ,10/18/2014,4
abdulabas@unifi,PUJ,10/19/2014,1
abdulabas@unifi,PUJ,10/20/2014,3
abdulabas@unifi,PUJ,10/21/2014,4
abdulabas@unifi,PUJ,10/22/2014,3
abdulabas@unifi,PUJ,10/23/2014,2
abdulabas@unifi,PUJ,10/24/2014,2
abdulabas@unifi,PUJ,10/25/2014,1
abdulabas@unifi,PUJ,10/26/2014,2
abdulabas@unifi,PUJ,10/27/2014,5
abdulabas@unifi,PUJ,10/28/2014,3
abdulabas@unifi,PUJ,10/29/2014,2
abdulabas@unifi,PUJ,10/30/2014,2
abdulabas@unifi,PUJ,10/31/2014,2
abdulabas@unifi,PUJ,11/1/2014,3
abdulabas@unifi,PUJ,11/2/2014,2
abdulabas@unifi,PUJ,11/3/2014,3
abdulabas@unifi,PUJ,11/4/2014,3
abdulabas@unifi,PUJ,11/5/2014,3
abdulabas@unifi,PUJ,11/6/2014,1
abdulabas@unifi,PUJ,11/7/2014,3
abdulabas@unifi,PUJ,11/8/2014,2
abdulabas@unifi,PUJ,11/9/2014,3
abdulabas@unifi,PUJ,11/10/2014,1
abdulabas@unifi,PUJ,11/11/2014,2
abdulabas@unifi,PUJ,11/17/2014,1
abdulabas@unifi,PUJ,11/24/2014,1
abdulabas@unifi,PUJ,11/25/2014,1
abdulabas@unifi,PUJ,11/26/2014,3
abdulabas@unifi,PUJ,11/27/2014,2
abdulabas@unifi,PUJ,11/28/2014,3
abdulabas@unifi,PUJ,11/29/2014,3
abdulabas@unifi,PUJ,11/30/2014,1
abdulabas@unifi,PUJ,12/1/2014,2
abdulabas@unifi,PUJ,12/2/2014,2
abdulabas@unifi,PUJ,12/4/2014,3
abdulabas@unifi,PUJ,12/5/2014,4
abdulabas@unifi,PUJ,12/6/2014,2
abdulabas@unifi,PUJ,12/7/2014,1
abdulabas@unifi,PUJ,12/8/2014,2
abdulabas@unifi,PUJ,12/9/2014,2
abdulabas@unifi,PUJ,12/10/2014,3
abdulabas@unifi,PUJ,12/13/2014,2
abdulabas@unifi,PUJ,12/14/2014,3
abdulabas@unifi,PUJ,12/15/2014,1
abdulabas@unifi,PUJ,12/17/2014,4
abdulabas@unifi,PUJ,12/18/2014,2
abdulabas@unifi,PUJ,12/19/2014,2
abdulabas@unifi,PUJ,12/19/2014,4
abdulabas@unifi,PUJ,12/19/2014,2
abdulabas@unifi,PUJ,12/19/2014,5
abdulabas@unifi,PUJ,12/19/2014,2
abdulabas@unifi,PUJ,12/19/2014,2
abdulabas@unifi,PUJ,12/19/2014,1
abdulabas@unifi,PUJ,12/19/2014,2
abdulabas@unifi,PUJ,12/19/2014,4
abdulabas@unifi,PUJ,12/19/2014,2
abdulabas@unifi,PUJ,12/20/2014,3
abdulabas@unifi,PUJ,12/21/2014,1
abdulabas@unifi,PUJ,12/22/2014,1
abdulabas@unifi,PUJ,12/23/2014,4
abdulabas@unifi,PUJ,12/24/2014,3
abdulabas@unifi,PUJ,12/25/2014,1
abdulabas@unifi,PUJ,12/26/2014,3
abdulabas@unifi,PUJ,12/27/2014,4
abdulabas@unifi,PUJ,12/28/2014,3
abdulabas@unifi,PUJ,12/30/2014,4
abdulabas@unifi,PUJ,12/31/2014,1
abdulabas@unifi,PUJ,1/1/2015,2
abdulabas@unifi,PUJ,1/2/2015,3
abdulabas@unifi,PUJ,1/3/2015,5
abdulabas@unifi,PUJ,1/4/2015,1
abdulabas@unifi,PUJ,1/5/2015,1
abdulabas@unifi,PUJ,1/7/2015,3
abdulabas@unifi,PUJ,1/8/2015,1
abdulabas@unifi,PUJ,1/9/2015,3
abdulabas@unifi,PUJ,1/10/2015,2
abdulabas@unifi,PUJ,1/11/2015,3
abdulabas@unifi,PUJ,1/12/2015,1
abdulabas@unifi,PUJ,1/13/2015,3
abdulabas@unifi,PUJ,1/16/2015,4
abdulabas@unifi,PUJ,1/17/2015,1
abdulabas@unifi,PUJ,1/18/2015,2
abdulabas@unifi,PUJ,1/20/2015,2
abdulabas@unifi,PUJ,1/21/2015,1
abdulabas@unifi,PUJ,1/22/2015,1
abdulabas@unifi,PUJ,1/22/2015,2
abdulabas@unifi,PUJ,1/22/2015,3
abdulabas@unifi,PUJ,1/23/2015,1
abdulabas@unifi,PUJ,1/24/2015,3
abdulabas@unifi,PUJ,1/25/2015,3
abdulabas@unifi,PUJ,1/26/2015,2
abdulabas@unifi,PUJ,1/28/2015,1
abdulabas@unifi,PUJ,1/29/2015,1
abdulabas@unifi,PUJ,1/31/2015,2
abdulabas@unifi,PUJ,2/1/2015,2
abdulabas@unifi,PUJ,2/2/2015,1
abdulabas@unifi,PUJ,2/4/2015,4
abdulabas@unifi,PUJ,2/5/2015,2
abdulabas@unifi,PUJ,2/5/2015,1
abdulabas@unifi,PUJ,2/5/2015,4
abdulabas@unifi,PUJ,2/5/2015,2
abdulabas@unifi,PUJ,2/6/2015,4
abdulabas@unifi,PUJ,2/7/2015,3
abdulabas@unifi,PUJ,2/8/2015,5
abdulabas@unifi,PUJ,2/12/2015,1
abdulabas@unifi,PUJ,2/13/2015,1
abdulabas@unifi,PUJ,2/14/2015,3
abdulabas@unifi,PUJ,2/15/2015,3
abdulabas@unifi,PUJ,2/17/2015,1
abdulabas@unifi,PUJ,2/18/2015,2
abdulabas@unifi,PUJ,2/19/2015,2
abdulabas@unifi,PUJ,2/20/2015,2
abdulabas@unifi,PUJ,2/21/2015,3
abdulabas@unifi,PUJ,2/22/2015,1
abdulabas@unifi,PUJ,2/23/2015,4
abdulabas@unifi,PUJ,2/24/2015,4
abdulabas@unifi,PUJ,2/24/2015,3
abdulabas@unifi,PUJ,2/24/2015,5
abdulabas@unifi,PUJ,2/24/2015,1
abdulabas@unifi,PUJ,2/24/2015,5
abdulabas@unifi,PUJ,2/24/2015,1
abdulabas@unifi,PUJ,2/24/2015,2
abdulabas@unifi,PUJ,2/25/2015,5
abdulabas@unifi,PUJ,2/26/2015,2
abdulabas@unifi,PUJ,2/27/2015,1
abdulabas@unifi,PUJ,3/1/2015,1
abdulabas@unifi,PUJ,3/2/2015,3
abdulabas@unifi,PUJ,3/3/2015,1
abdulabas@unifi,PUJ,3/4/2015,1
abdulabas@unifi,PUJ,3/5/2015,2
abdulabas@unifi,PUJ,3/6/2015,3
abdulabas@unifi,PUJ,3/7/2015,1
abdulabas@unifi,PUJ,3/8/2015,2
abdulabas@unifi,PUJ,3/9/2015,5
abdulabas@unifi,PUJ,3/11/2015,2
abdulabas@unifi,PUJ,3/13/2015,2
abdulabas@unifi,PUJ,3/15/2015,1
abdulabas@unifi,PUJ,3/16/2015,3
abdulabas@unifi,PUJ,3/17/2015,1
abdulabas@unifi,PUJ,3/18/2015,2
abdulabas@unifi,PUJ,3/20/2015,3
abdulabas@unifi,PUJ,3/21/2015,4
abdulabas@unifi,PUJ,3/22/2015,5
abdulabas@unifi,PUJ,3/23/2015,2
abdulabas@unifi,PUJ,3/24/2015,3
abdulabas@unifi,PUJ,3/25/2015,3
abdulabas@unifi,PUJ,3/26/2015,1
abdulabas@unifi,PUJ,3/27/2015,2
abdulabas@unifi,PUJ,3/28/2015,2
abdulabas@unifi,PUJ,3/29/2015,3
abdulabas@unifi,PUJ,3/30/2015,4
abdulabas@unifi,PUJ,4/1/2015,5
abdulabas@unifi,PUJ,4/1/2015,3
abdulabas@unifi,PUJ,4/2/2015,4
abdulabas@unifi,PUJ,4/2/2015,2
abdulabas@unifi,PUJ,4/3/2015,1
abdulabas@unifi,PUJ,4/3/2015,2
abdulabas@unifi,PUJ,4/4/2015,4
abdulabas@unifi,PUJ,4/5/2015,3
abdulabas@unifi,PUJ,4/6/2015,3
abdulabas@unifi,PUJ,4/7/2015,2
abdulabas@unifi,PUJ,4/8/2015,2
abdulabas@unifi,PUJ,4/15/2015,2
abdulabas@unifi,PUJ,4/16/2015,4
abdulabas@unifi,PUJ,4/19/2015,1
abdulabas@unifi,PUJ,4/20/2015,2
abdulabas@unifi,PUJ,4/20/2015,3
abdulabas@unifi,PUJ,4/20/2015,6
abdulabas@unifi,PUJ,4/20/2015,3
abdulabas@unifi,PUJ,4/20/2015,3
abdulabas@unifi,PUJ,4/20/2015,2
abdulabas@unifi,PUJ,4/20/2015,3
abdulabas@unifi,PUJ,4/20/2015,4
abdulabas@unifi,PUJ,4/20/2015,1
abdulabas@unifi,PUJ,4/21/2015,2
abdulabas@unifi,PUJ,4/22/2015,2
abdulabas@unifi,PUJ,4/23/2015,2
abdulabas@unifi,PUJ,4/24/2015,3
abdulabas@unifi,PUJ,4/25/2015,3
abdulabas@unifi,PUJ,4/26/2015,4
abdulabas@unifi,PUJ,4/27/2015,3
abdulabas@unifi,PUJ,4/28/2015,2
abdulabas@unifi,PUJ,4/29/2015,4
abdulabas@unifi,PUJ,4/30/2015,2
abdulabas@unifi,PUJ,5/1/2015,6
abdulabas@unifi,PUJ,5/3/2015,3
abdulabas@unifi,PUJ,5/4/2015,1
abdulabas@unifi,PUJ,5/5/2015,4
abdulabas@unifi,PUJ,5/6/2015,3
abdulabas@unifi,PUJ,5/7/2015,2
abdulabas@unifi,PUJ,5/12/2015,3
abdulabas@unifi,PUJ,5/12/2015,4
abdulabas@unifi,PUJ,5/12/2015,3
abdulabas@unifi,PUJ,5/12/2015,4
abdulabas@unifi,PUJ,5/12/2015,5
abdulabas@unifi,PUJ,5/14/2015,3
abdulabas@unifi,PUJ,5/15/2015,2
abdulabas@unifi,PUJ,5/17/2015,6
abdulabas@unifi,PUJ,5/18/2015,4
abdulabas@unifi,PUJ,5/20/2015,1
abdulabas@unifi,PUJ,5/21/2015,1
abdulabas@unifi,PUJ,5/22/2015,4
abdulabas@unifi,PUJ,5/24/2015,1
abdulabas@unifi,PUJ,5/25/2015,3
abdulabas@unifi,PUJ,5/26/2015,1
abdulabas@unifi,PUJ,5/27/2015,3
abdulabas@unifi,PUJ,5/28/2015,1
abdulabas@unifi,PUJ,5/29/2015,1
abdulabas@unifi,PUJ,5/30/2015,1
abdulabas@unifi,PUJ,5/31/2015,2
abdulabas@unifi,PUJ,6/1/2015,2
abdulabas@unifi,PUJ,6/1/2015,1
abdulabas@unifi,PUJ,6/1/2015,2
abdulabas@unifi,PUJ,6/1/2015,1
abdulabas@unifi,PUJ,6/2/2015,1
abdulabas@unifi,PUJ,6/3/2015,1
abdulabas@unifi,PUJ,6/4/2015,4
abdulabas@unifi,PUJ,6/5/2015,1
abdulabas@unifi,PUJ,6/6/2015,3
abdulabas@unifi,PUJ,6/7/2015,2
abdulabas@unifi,PUJ,6/8/2015,2
abdulabas@unifi,PUJ,6/10/2015,2
abdulabas@unifi,PUJ,6/11/2015,3
abdulabas@unifi,PUJ,6/12/2015,2
abdulabas@unifi,PUJ,6/13/2015,1
abdulabas@unifi,PUJ,6/14/2015,2
abdulabas@unifi,PUJ,6/15/2015,3
abdulabas@unifi,PUJ,6/17/2015,1
abdulabas@unifi,PUJ,6/18/2015,2
abdulabas@unifi,PUJ,6/21/2015,3
abdulabas@unifi,PUJ,6/22/2015,6
abdulabas@unifi,PUJ,6/23/2015,3
abdulabas@unifi,PUJ,6/26/2015,2
abdulabas@unifi,PUJ,6/28/2015,3
abdulabas@unifi,PUJ,6/30/2015,1
abdulabas@unifi,PUJ,6/30/2015,3
abdulabas@unifi,PUJ,6/30/2015,2
abdulabas@unifi,PUJ,6/30/2015,3
abdulabas@unifi,PUJ,6/30/2015,2
abdulabas@unifi,PUJ,6/30/2015,2
abdulabas@unifi,PUJ,6/30/2015,2
abdulabas@unifi,PUJ,7/1/2015,6
abdulabas@unifi,PUJ,7/1/2015,2
abdulabas@unifi,PUJ,7/1/2015,2
abdulabas@unifi,PUJ,7/2/2015,1
abdulabas@unifi,PUJ,7/3/2015,3
abdulabas@unifi,PUJ,7/5/2015,4
abdulabas@unifi,PUJ,7/6/2015,4
abdulabas@unifi,PUJ,7/7/2015,4
abdulabas@unifi,PUJ,7/8/2015,2
abdulabas@unifi,PUJ,7/13/2015,3
abdulabas@unifi,PUJ,7/15/2015,3
abdulabas@unifi,PUJ,7/15/2015,3
abdulabas@unifi,PUJ,7/15/2015,1
abdulabas@unifi,PUJ,7/15/2015,3
abdulabas@unifi,PUJ,7/15/2015,5
abdulabas@unifi,PUJ,7/16/2015,1
abdulabas@unifi,PUJ,7/17/2015,2
abdulabas@unifi,PUJ,7/18/2015,3
abdulabas@unifi,PUJ,7/19/2015,1
abdulabas@unifi,PUJ,7/21/2015,1
abdulabas@unifi,PUJ,7/22/2015,2
abdulabas@unifi,PUJ,7/25/2015,4
abdulabas@unifi,PUJ,7/26/2015,2
abdulabas@unifi,PUJ,7/28/2015,2
abdulabas@unifi,PUJ,8/1/2015,3
abdulabas@unifi,PUJ,8/2/2015,4
abdulabas@unifi,PUJ,8/3/2015,2
abdulabas@unifi,PUJ,8/4/2015,2
abdulabas@unifi,PUJ,8/4/2015,4
abdulabas@unifi,PUJ,8/4/2015,1
abdulabas@unifi,PUJ,8/4/2015,2
abdulabas@unifi,PUJ,8/4/2015,2
abdulabas@unifi,PUJ,8/4/2015,3
abdulabas@unifi,PUJ,8/4/2015,4
abdulabas@unifi,PUJ,8/5/2015,2
abdulabas@unifi,PUJ,8/6/2015,1
abdulabas@unifi,PUJ,8/7/2015,3
abdulabas@unifi,PUJ,8/8/2015,3
abdulabas@unifi,PUJ,8/9/2015,2
abdulabas@unifi,PUJ,8/10/2015,2
abdulabas@unifi,PUJ,8/11/2015,2
abdulabas@unifi,PUJ,8/12/2015,3
abdulabas@unifi,PUJ,8/14/2015,3
abdulabas@unifi,PUJ,8/15/2015,2
abdulabas@unifi,PUJ,8/16/2015,3
abdulabas@unifi,PUJ,8/17/2015,3
abdulabas@unifi,PUJ,8/18/2015,1
abdulabas@unifi,PUJ,8/20/2015,1
abdulabas@unifi,PUJ,8/24/2015,1
abdulabas@unifi,PUJ,8/24/2015,3
abdulabas@unifi,PUJ,8/24/2015,3
abdulabas@unifi,PUJ,8/24/2015,2
abdulabas@unifi,PUJ,8/24/2015,1
abdulabas@unifi,PUJ,8/25/2015,3
abdulabas@unifi,PUJ,8/26/2015,3
abdulabas@unifi,PUJ,8/27/2015,3
abdulabas@unifi,PUJ,8/28/2015,3
abdulabas@unifi,PUJ,8/31/2015,1
abdulabas@unifi,PUJ,9/1/2015,3
abdulabas@unifi,PUJ,9/2/2015,2
abdulabas@unifi,PUJ,9/3/2015,4
abdulabas@unifi,PUJ,9/4/2015,1
abdulabas@unifi,PUJ,9/5/2015,1
abdulabas@unifi,PUJ,9/6/2015,1
abdulabas@unifi,PUJ,9/10/2015,1
abdulabas@unifi,PUJ,9/10/2015,1
abdulabas@unifi,PUJ,9/10/2015,1
abdulabas@unifi,PUJ,9/10/2015,1
abdulabas@unifi,PUJ,9/10/2015,4
abdulabas@unifi,PUJ,9/11/2015,2
abdulabas@unifi,PUJ,9/13/2015,1
abdulabas@unifi,PUJ,9/14/2015,3
abdulabas@unifi,PUJ,9/17/2015,3
abdulabas@unifi,PUJ,9/18/2015,2
abdulabas@unifi,PUJ,9/19/2015,3
abdulabas@unifi,PUJ,9/21/2015,2
abdulabas@unifi,PUJ,10/1/2015,1
abdulabas@unifi,PUJ,10/1/2015,4
abdulabas@unifi,PUJ,10/1/2015,3
abdulabas@unifi,PUJ,10/1/2015,2
abdulabas@unifi,PUJ,10/1/2015,4
abdulabas@unifi,PUJ,10/1/2015,1
abdulabas@unifi,PUJ,10/1/2015,3
abdulabas@unifi,PUJ,10/1/2015,2
abdulabas@unifi,PUJ,10/1/2015,2
abdulabas@unifi,PUJ,10/1/2015,4
abdulabas@unifi,PUJ,10/1/2015,1
abdulabas@unifi,PUJ,10/1/2015,2
abdulabas@unifi,PUJ,10/1/2015,2
abdulabas@unifi,PUJ,10/2/2015,3
abdullahmuda@unifi,PUJ,1/8/2014,2
abdullahmuda@unifi,PUJ,1/9/2014,1
abdullahmuda@unifi,PUJ,1/11/2014,1
abdullahmuda@unifi,PUJ,1/12/2014,2
abdullahmuda@unifi,PUJ,1/18/2014,1
abdullahmuda@unifi,PUJ,1/21/2014,1
abdullahmuda@unifi,PUJ,2/1/2014,1
abdullahmuda@unifi,PUJ,2/2/2014,7
abdullahmuda@unifi,PUJ,2/3/2014,9
abdullahmuda@unifi,PUJ,2/4/2014,7
abdullahmuda@unifi,PUJ,2/5/2014,2
abdullahmuda@unifi,PUJ,2/7/2014,6
abdullahmuda@unifi,PUJ,2/8/2014,4
abdullahmuda@unifi,PUJ,2/10/2014,6
abdullahmuda@unifi,PUJ,2/16/2014,1
abdullahmuda@unifi,PUJ,2/20/2014,1
abdullahmuda@unifi,PUJ,2/25/2014,2
abdullahmuda@unifi,PUJ,2/26/2014,4
abdullahmuda@unifi,PUJ,2/28/2014,1
abdullahmuda@unifi,PUJ,3/1/2014,1
abdullahmuda@unifi,PUJ,3/4/2014,5
abdullahmuda@unifi,PUJ,3/4/2014,12
abdullahmuda@unifi,PUJ,3/5/2014,1
abdullahmuda@unifi,PUJ,3/6/2014,1
abdullahmuda@unifi,PUJ,3/7/2014,1
abdullahmuda@unifi,PUJ,3/9/2014,2
abdullahmuda@unifi,PUJ,3/11/2014,1
abdullahmuda@unifi,PUJ,3/12/2014,2
abdullahmuda@unifi,PUJ,3/13/2014,1
abdullahmuda@unifi,PUJ,3/18/2014,1
abdullahmuda@unifi,PUJ,3/19/2014,1
abdullahmuda@unifi,PUJ,3/20/2014,1
abdullahmuda@unifi,PUJ,3/23/2014,1
abdullahmuda@unifi,PUJ,4/2/2014,2
abdullahmuda@unifi,PUJ,4/2/2014,4
abdullahmuda@unifi,PUJ,4/2/2014,3
abdullahmuda@unifi,PUJ,4/2/2014,1
abdullahmuda@unifi,PUJ,4/2/2014,2
abdullahmuda@unifi,PUJ,4/2/2014,2
abdullahmuda@unifi,PUJ,4/3/2014,1
abdullahmuda@unifi,PUJ,4/4/2014,9
abdullahmuda@unifi,PUJ,4/5/2014,9
abdullahmuda@unifi,PUJ,4/6/2014,1
abdullahmuda@unifi,PUJ,4/7/2014,5
abdullahmuda@unifi,PUJ,4/10/2014,1
abdullahmuda@unifi,PUJ,4/12/2014,1
abdullahmuda@unifi,PUJ,4/15/2014,1
abdullahmuda@unifi,PUJ,4/20/2014,1
abdullahmuda@unifi,PUJ,4/21/2014,9
abdullahmuda@unifi,PUJ,4/22/2014,4
abdullahmuda@unifi,PUJ,4/23/2014,1
abdullahmuda@unifi,PUJ,4/25/2014,7
abdullahmuda@unifi,PUJ,4/27/2014,6
abdullahmuda@unifi,PUJ,4/30/2014,5
abdullahmuda@unifi,PUJ,5/1/2014,1
abdullahmuda@unifi,PUJ,5/2/2014,3
abdullahmuda@unifi,PUJ,5/3/2014,3
abdullahmuda@unifi,PUJ,5/4/2014,4
abdullahmuda@unifi,PUJ,5/5/2014,1
abdullahmuda@unifi,PUJ,5/5/2014,3
abdullahmuda@unifi,PUJ,5/5/2014,6
abdullahmuda@unifi,PUJ,5/5/2014,1
abdullahmuda@unifi,PUJ,5/5/2014,2
abdullahmuda@unifi,PUJ,5/5/2014,5
abdullahmuda@unifi,PUJ,5/5/2014,2
abdullahmuda@unifi,PUJ,5/6/2014,4
abdullahmuda@unifi,PUJ,5/7/2014,2
abdullahmuda@unifi,PUJ,5/8/2014,1
abdullahmuda@unifi,PUJ,5/9/2014,3
abdullahmuda@unifi,PUJ,5/10/2014,3
abdullahmuda@unifi,PUJ,5/11/2014,3
abdullahmuda@unifi,PUJ,5/12/2014,2
abdullahmuda@unifi,PUJ,5/13/2014,3
abdullahmuda@unifi,PUJ,5/15/2014,7
abdullahmuda@unifi,PUJ,5/17/2014,6
abdullahmuda@unifi,PUJ,5/19/2014,5
abdullahmuda@unifi,PUJ,5/20/2014,3
abdullahmuda@unifi,PUJ,5/21/2014,6
abdullahmuda@unifi,PUJ,5/22/2014,4
abdullahmuda@unifi,PUJ,5/24/2014,5
abdullahmuda@unifi,PUJ,5/25/2014,1
abdullahmuda@unifi,PUJ,5/27/2014,2
abdullahmuda@unifi,PUJ,5/28/2014,5
abdullahmuda@unifi,PUJ,5/29/2014,4
abdullahmuda@unifi,PUJ,5/31/2014,2
abdullahmuda@unifi,PUJ,6/2/2014,1
abdullahmuda@unifi,PUJ,6/2/2014,5
abdullahmuda@unifi,PUJ,6/3/2014,5
abdullahmuda@unifi,PUJ,6/4/2014,1
abdullahmuda@unifi,PUJ,6/5/2014,2
abdullahmuda@unifi,PUJ,6/6/2014,3
abdullahmuda@unifi,PUJ,6/8/2014,1
abdullahmuda@unifi,PUJ,6/16/2014,1
abdullahmuda@unifi,PUJ,6/19/2014,1
abdullahmuda@unifi,PUJ,6/27/2014,1
abdullahmuda@unifi,PUJ,6/28/2014,1
abdullahmuda@unifi,PUJ,6/29/2014,4
abdullahmuda@unifi,PUJ,6/30/2014,8
abdullahmuda@unifi,PUJ,7/1/2014,1
abdullahmuda@unifi,PUJ,7/1/2014,5
abdullahmuda@unifi,PUJ,7/1/2014,1
abdullahmuda@unifi,PUJ,7/2/2014,3
abdullahmuda@unifi,PUJ,7/2/2014,3
abdullahmuda@unifi,PUJ,7/3/2014,1
abdullahmuda@unifi,PUJ,7/4/2014,3
abdullahmuda@unifi,PUJ,7/6/2014,3
abdullahmuda@unifi,PUJ,7/7/2014,2
abdullahmuda@unifi,PUJ,7/9/2014,3
abdullahmuda@unifi,PUJ,7/10/2014,1
abdullahmuda@unifi,PUJ,7/13/2014,2
abdullahmuda@unifi,PUJ,7/18/2014,3
abdullahmuda@unifi,PUJ,7/20/2014,1
abdullahmuda@unifi,PUJ,7/22/2014,2
abdullahmuda@unifi,PUJ,7/23/2014,2
abdullahmuda@unifi,PUJ,7/24/2014,1
abdullahmuda@unifi,PUJ,7/27/2014,1
abdullahmuda@unifi,PUJ,8/4/2014,1
abdullahmuda@unifi,PUJ,8/4/2014,1
abdullahmuda@unifi,PUJ,8/4/2014,15
abdullahmuda@unifi,PUJ,8/6/2014,3
abdullahmuda@unifi,PUJ,8/7/2014,1
abdullahmuda@unifi,PUJ,8/9/2014,1
abdullahmuda@unifi,PUJ,8/10/2014,1
abdullahmuda@unifi,PUJ,8/11/2014,3
abdullahmuda@unifi,PUJ,8/13/2014,1
abdullahmuda@unifi,PUJ,8/15/2014,2
abdullahmuda@unifi,PUJ,9/2/2014,2
abdullahmuda@unifi,PUJ,9/2/2014,2
abdullahmuda@unifi,PUJ,9/2/2014,5
abdullahmuda@unifi,PUJ,9/5/2014,1
abdullahmuda@unifi,PUJ,9/7/2014,2
abdullahmuda@unifi,PUJ,9/8/2014,4
abdullahmuda@unifi,PUJ,9/9/2014,1
abdullahmuda@unifi,PUJ,9/10/2014,1
abdullahmuda@unifi,PUJ,9/11/2014,1
abdullahmuda@unifi,PUJ,9/13/2014,3
abdullahmuda@unifi,PUJ,9/27/2014,1
abdullahmuda@unifi,PUJ,9/30/2014,1
abdullahmuda@unifi,PUJ,10/1/2014,1
abdullahmuda@unifi,PUJ,10/1/2014,1
abdullahmuda@unifi,PUJ,10/1/2014,1
abdullahmuda@unifi,PUJ,10/1/2014,2
abdullahmuda@unifi,PUJ,10/1/2014,2
abdullahmuda@unifi,PUJ,10/1/2014,4
abdullahmuda@unifi,PUJ,10/1/2014,2
abdullahmuda@unifi,PUJ,10/1/2014,1
abdullahmuda@unifi,PUJ,10/1/2014,1
abdullahmuda@unifi,PUJ,10/1/2014,2
abdullahmuda@unifi,PUJ,10/1/2014,1
abdullahmuda@unifi,PUJ,10/2/2014,2
abdullahmuda@unifi,PUJ,10/3/2014,2
abdullahmuda@unifi,PUJ,10/4/2014,3
abdullahmuda@unifi,PUJ,10/9/2014,2
abdullahmuda@unifi,PUJ,10/10/2014,1
abdullahmuda@unifi,PUJ,10/11/2014,3
abdullahmuda@unifi,PUJ,10/13/2014,3
abdullahmuda@unifi,PUJ,10/15/2014,3
abdullahmuda@unifi,PUJ,10/16/2014,1
abdullahmuda@unifi,PUJ,10/16/2014,1
abdullahmuda@unifi,PUJ,10/16/2014,3
abdullahmuda@unifi,PUJ,10/16/2014,7
abdullahmuda@unifi,PUJ,10/17/2014,1
abdullahmuda@unifi,PUJ,10/18/2014,1
abdullahmuda@unifi,PUJ,10/20/2014,1
abdullahmuda@unifi,PUJ,10/21/2014,2
abdullahmuda@unifi,PUJ,10/22/2014,1
abdullahmuda@unifi,PUJ,10/24/2014,3
